19:18:33
0  -  x: 510, y: 439  |  x: 510, y: 439
0.01  -  x: 512, y: 442  |  x: 512, y: 442
0.02  -  x: 512, y: 442  |  x: 512, y: 442
0.03  -  x: 512, y: 442  |  x: 512, y: 442
0.04  -  x: 511, y: 440  |  x: 511, y: 440
0.05  -  x: 511, y: 440  |  x: 511, y: 440
0.06  -  x: 511, y: 440  |  x: 511, y: 440
0.07  -  x: 512, y: 440  |  x: 512, y: 440
0.08  -  x: 512, y: 440  |  x: 512, y: 440
0.09  -  x: 512, y: 440  |  x: 512, y: 440
0.1  -  x: 512, y: 440  |  x: 512, y: 440
0.11  -  x: 512, y: 440  |  x: 512, y: 440
0.12  -  x: 512, y: 440  |  x: 512, y: 440
0.13  -  x: 512, y: 442  |  x: 512, y: 442
0.14  -  x: 512, y: 442  |  x: 512, y: 442
0.15  -  x: 512, y: 442  |  x: 512, y: 442
0.16  -  x: 512, y: 438  |  x: 512, y: 438
0.17  -  x: 512, y: 438  |  x: 512, y: 438
0.18  -  x: 512, y: 438  |  x: 512, y: 438
0.19  -  x: 512, y: 438  |  x: 512, y: 438
0.2  -  x: 512, y: 438  |  x: 512, y: 438
0.21  -  x: 512, y: 438  |  x: 512, y: 438
0.22  -  x: 510, y: 438  |  x: 510, y: 438
0.23  -  x: 510, y: 438  |  x: 510, y: 438
0.24  -  x: 510, y: 438  |  x: 510, y: 438
0.25  -  x: 512, y: 441  |  x: 512, y: 441
0.26  -  x: 512, y: 441  |  x: 512, y: 441
0.27  -  x: 512, y: 441  |  x: 512, y: 441
0.28  -  x: 510, y: 440  |  x: 510, y: 440
0.29  -  x: 510, y: 440  |  x: 510, y: 440
0.3  -  x: 510, y: 440  |  x: 510, y: 440
0.31  -  x: 510, y: 440  |  x: 510, y: 440
0.32  -  x: 510, y: 440  |  x: 510, y: 440
0.33  -  x: 510, y: 440  |  x: 510, y: 440
0.34  -  x: 509, y: 438  |  x: 509, y: 438
0.35  -  x: 509, y: 438  |  x: 509, y: 438
0.36  -  x: 509, y: 438  |  x: 509, y: 438
0.37  -  x: 506, y: 441  |  x: 506, y: 441
