19:49:49
Time [s]    Obiekt 1       Obiekt 2
0  -  x: 506, y: 424  |  x: 506, y: 424
0.01  -  x: 506, y: 424  |  x: 506, y: 424
0.02  -  x: 506, y: 424  |  x: 506, y: 424
0.03  -  x: 512, y: 422  |  x: 512, y: 422
0.04  -  x: 512, y: 422  |  x: 512, y: 422
0.05  -  x: 512, y: 422  |  x: 512, y: 422
0.06  -  x: 512, y: 422  |  x: 512, y: 422
0.07  -  x: 512, y: 422  |  x: 512, y: 422
0.08  -  x: 512, y: 422  |  x: 512, y: 422
0.09  -  x: 512, y: 422  |  x: 512, y: 422
0.1  -  x: 512, y: 422  |  x: 512, y: 422
0.11  -  x: 512, y: 422  |  x: 512, y: 422
0.12  -  x: 505, y: 428  |  x: 505, y: 428
0.13  -  x: 505, y: 428  |  x: 505, y: 428
0.14  -  x: 505, y: 428  |  x: 505, y: 428
0.15  -  x: 505, y: 429  |  x: 505, y: 429
0.16  -  x: 505, y: 429  |  x: 505, y: 429
0.17  -  x: 505, y: 429  |  x: 505, y: 429
0.18  -  x: 500, y: 434  |  x: 500, y: 434
0.19  -  x: 500, y: 434  |  x: 500, y: 434
0.2  -  x: 500, y: 434  |  x: 500, y: 434
0.21  -  x: 506, y: 430  |  x: 506, y: 430
0.22  -  x: 506, y: 430  |  x: 506, y: 430
0.23  -  x: 506, y: 430  |  x: 506, y: 430
0.24  -  x: 512, y: 422  |  x: 512, y: 422
0.25  -  x: 512, y: 422  |  x: 512, y: 422
0.26  -  x: 512, y: 422  |  x: 512, y: 422
0.27  -  x: 513, y: 423  |  x: 513, y: 423
0.28  -  x: 513, y: 423  |  x: 513, y: 423
0.29  -  x: 513, y: 423  |  x: 513, y: 423
0.3  -  x: 512, y: 422  |  x: 512, y: 422
0.31  -  x: 512, y: 422  |  x: 512, y: 422
0.32  -  x: 512, y: 422  |  x: 512, y: 422
0.33  -  x: 512, y: 422  |  x: 512, y: 422
0.34  -  x: 512, y: 422  |  x: 512, y: 422
0.35  -  x: 512, y: 422  |  x: 512, y: 422
0.36  -  x: 502, y: 431  |  x: 502, y: 431
0.37  -  x: 502, y: 431  |  x: 502, y: 431
0.38  -  x: 502, y: 431  |  x: 502, y: 431
0.39  -  x: 504, y: 430  |  x: 504, y: 430
0.4  -  x: 504, y: 430  |  x: 504, y: 430
0.41  -  x: 504, y: 430  |  x: 504, y: 430
0.42  -  x: 504, y: 430  |  x: 504, y: 430
0.43  -  x: 504, y: 430  |  x: 504, y: 430
0.44  -  x: 504, y: 430  |  x: 504, y: 430
0.45  -  x: 497, y: 442  |  x: 497, y: 442
0.46  -  x: 497, y: 442  |  x: 497, y: 442
0.47  -  x: 497, y: 442  |  x: 497, y: 442
0.48  -  x: 490, y: 443  |  x: 490, y: 443
0.49  -  x: 490, y: 443  |  x: 490, y: 443
0.5  -  x: 490, y: 443  |  x: 490, y: 443
0.51  -  x: 490, y: 443  |  x: 490, y: 443
0.52  -  x: 490, y: 443  |  x: 490, y: 443
0.53  -  x: 490, y: 443  |  x: 490, y: 443
0.54  -  x: 501, y: 433  |  x: 501, y: 433
