20:37:41
100
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|259:195|449:373
0.01|259:195|449:373
0.02|259:195|449:373
0.03|259:195|449:373
0.04|259:195|449:373
0.05|257:196|449:373
0.06|257:196|450:372
0.07|257:196|450:372
0.08|261:196|450:372
0.09|261:196|449:372
0.1|261:196|449:372
0.11|261:196|449:372
0.12|261:196|449:372
0.13|261:196|449:372
0.14|268:194|449:372
0.15|268:194|449:371
0.16|268:194|449:371
0.17|267:194|449:371
0.18|267:194|449:371
0.19|267:194|449:371
0.2|269:196|449:371
0.21|269:196|448:368
0.22|269:196|448:368
0.23|256:195|448:368
0.24|256:195|448:370
0.25|256:195|448:370
0.26|256:195|448:370
0.27|256:195|448:370
0.28|258:193|448:370
0.29|258:193|448:369
0.3|258:193|448:369
0.31|253:195|448:369
0.32|253:195|448:369
0.33|253:195|448:369
0.34|253:195|448:369
0.35|253:195|448:369
0.36|253:195|448:369
0.37|262:194|448:369
0.38|262:194|448:370
0.39|262:194|448:370
0.4|259:194|448:370
0.41|259:194|447:369
0.42|259:194|447:369
0.43|259:194|447:369
0.44|259:194|447:369
0.45|255:194|447:369
0.46|255:194|446:370
0.47|255:194|446:370
0.48|255:194|446:370
0.49|256:195|446:370
0.5|256:195|445:370
0.51|260:191|445:370
0.52|260:191|445:370
0.53|260:191|443:371
0.54|247:194|443:371
0.55|247:194|440:368
0.56|247:194|440:368
0.57|247:194|440:368
0.58|247:194|440:368
0.59|247:194|440:368
0.6|255:192|440:368
0.61|255:192|438:368
0.62|255:192|438:368
0.63|252:192|438:368
0.64|252:192|436:367
0.65|252:192|436:367
0.66|252:192|436:367
0.67|252:192|436:367
0.68|252:192|436:367
0.69|245:193|434:366
0.7|245:193|434:366
0.71|237:191|434:366
0.72|237:191|434:366
0.73|237:191|431:366
0.74|236:191|431:366
0.75|236:191|431:366
0.76|236:191|431:366
0.77|233:190|431:366
0.78|233:190|428:367
0.79|233:190|428:367
0.8|237:190|428:367
0.81|237:190|424:366
0.82|237:190|424:366
0.83|239:190|424:366
0.84|239:190|420:366
0.85|239:190|420:366
0.86|239:190|420:366
0.87|239:190|420:366
0.88|239:190|420:366
0.89|231:189|420:366
0.9|231:189|417:365
0.91|231:189|417:365
0.92|233:191|417:365
0.93|233:191|414:363
0.94|233:191|414:363
0.95|224:192|414:363
0.96|224:192|409:364
0.97|224:192|409:364
0.98|224:192|409:364
0.99|224:192|409:364
1|224:192|409:364
1.01|222:190|409:364
1.02|222:190|405:362
1.03|222:190|405:362
1.04|224:189|405:362
1.05|224:189|400:360
1.06|224:189|400:360
1.07|224:189|400:360
1.08|224:189|400:360
1.09|216:188|400:360
1.1|216:188|394:362
1.11|216:188|394:362
1.12|215:186|394:362
1.13|215:186|387:359
1.14|215:186|387:359
1.15|210:185|387:359
1.16|210:185|380:357
1.17|210:185|380:357
1.18|210:185|380:357
1.19|210:185|380:357
1.2|210:185|380:357
1.21|210:183|380:357
1.22|210:183|375:354
1.23|210:183|375:354
1.24|204:183|375:354
1.25|204:183|371:350
1.26|204:183|371:350
1.27|192:182|371:350
1.28|192:182|366:346
1.29|192:182|366:346
1.3|192:182|366:346
1.31|192:182|366:346
1.32|196:181|366:346
1.33|196:181|360:348
1.34|196:181|360:348
1.35|200:178|360:348
1.36|200:178|356:342
1.37|200:178|356:342
1.38|200:178|356:342
1.39|200:178|357:339
1.4|200:178|357:339
1.41|192:176|357:339
1.42|192:176|351:342
1.43|192:176|351:342
1.44|185:175|351:342
1.45|185:175|346:338
1.46|185:175|346:338
1.47|185:175|346:338
1.48|185:175|346:338
1.49|185:175|346:338
1.5|183:175|346:338
1.51|183:175|341:336
1.52|183:175|341:336
1.53|179:172|341:336
1.54|179:172|334:335
1.55|176:174|334:335
1.56|176:174|328:335
1.57|176:174|328:335
1.58|170:172|328:335
1.59|170:172|322:331
1.6|170:172|322:331
1.61|170:172|322:331
1.62|170:172|322:331
1.63|170:172|322:331
1.64|170:170|322:331
1.65|170:170|317:326
1.66|170:170|317:326
1.67|163:170|317:326
1.68|163:170|310:327
1.69|163:170|310:327
1.7|163:170|310:327
1.71|163:170|310:327
1.72|163:170|310:327
1.73|162:166|310:327
1.74|162:166|304:322
1.75|158:164|304:322
1.76|158:164|304:322
1.77|158:164|300:313
1.78|158:164|300:313
1.79|158:164|300:311
1.8|158:164|300:311
1.81|157:161|300:311
1.82|157:161|294:310
1.83|157:161|294:310
1.84|151:158|294:310
1.85|151:158|288:309
1.86|151:158|288:309
1.87|149:158|288:309
1.88|149:158|282:305
1.89|149:158|282:305
1.9|149:158|282:305
1.91|149:158|282:305
1.92|149:158|282:305
1.93|144:155|282:305
1.94|144:155|275:304
1.95|144:155|275:304
1.96|145:151|275:304
1.97|145:151|268:299
1.98|145:151|268:299
1.99|145:151|269:296
2|145:151|269:296
2.01|139:150|269:296
2.02|139:150|265:289
2.03|139:150|265:289
2.04|137:148|265:289
2.05|137:148|259:286
2.06|137:148|259:286
2.07|137:148|259:286
2.08|137:148|259:286
2.09|137:148|259:286
2.1|135:144|259:286
2.11|135:144|256:279
2.12|135:144|256:279
2.13|138:142|256:279
2.14|138:142|252:278
2.15|138:142|252:278
2.16|136:138|252:278
2.17|136:138|250:271
2.18|136:138|250:271
2.19|136:138|250:271
2.2|136:138|250:271
2.21|136:138|250:271
2.22|138:135|250:271
2.23|138:135|249:266
2.24|137:133|249:266
2.25|137:133|247:263
2.26|137:133|247:263
2.27|132:131|247:263
2.28|132:131|246:259
2.29|132:131|246:259
2.3|132:131|246:259
2.31|132:131|247:258
2.32|132:131|247:258
2.33|133:131|247:258
2.34|133:131|245:256
2.35|133:131|245:256
2.36|133:131|245:256
2.37|133:131|245:253
2.38|133:131|245:253
2.39|133:131|245:253
2.4|133:131|245:252
2.41|133:131|245:252
2.42|134:132|245:252
2.43|134:132|243:254
2.44|134:132|243:254
2.45|130:131|243:254
2.46|130:131|243:252
2.47|130:131|243:252
2.48|130:131|243:252
2.49|130:131|243:252
2.5|128:131|243:252
2.51|128:131|241:252
2.52|128:131|241:252
2.53|127:130|241:252
2.54|127:130|240:250
2.55|127:130|240:250
2.56|129:129|240:250
2.57|129:129|239:246
2.58|129:129|239:246
2.59|128:128|239:246
2.6|128:128|238:245
2.61|128:128|238:245
2.62|128:128|238:245
2.63|128:128|238:245
2.64|128:128|238:245
2.65|128:127|238:245
2.66|128:127|237:243
2.67|128:127|237:243
2.68|126:126|237:243
2.69|126:126|236:241
2.7|126:126|236:241
