22:27:22
1000
Time        Obiekt 1      Obiekt 2
[s]    |   [x] : [y]  |  [x] : [y]
0|388:172|256:76
0.01|388:171|256:76
0.02|388:171|256:76
0.03|388:171|256:76
0.04|388:171|256:76
0.05|388:171|256:76
0.06|388:172|255:76
0.07|388:172|255:76
0.08|388:173|256:76
0.09|388:173|256:76
0.1|387:169|255:76
0.11|387:169|255:76
0.12|387:169|255:76
0.13|388:170|255:77
0.14|388:170|255:77
0.15|389:173|255:77
0.16|389:173|255:77
0.17|389:170|255:78
0.18|389:170|255:78
0.19|389:170|255:78
0.2|389:170|255:78
0.21|391:170|255:78
0.22|391:170|255:78
0.23|391:170|255:78
0.24|391:170|255:78
0.25|393:171|256:78
0.26|393:171|256:78
0.27|393:169|256:79
0.28|393:169|256:79
0.29|395:169|254:79
0.3|395:169|254:79
0.31|396:171|253:79
0.32|396:171|253:79
0.33|396:171|253:79
0.34|396:171|253:79
0.35|399:169|254:81
0.36|399:169|254:81
0.37|399:169|254:81
0.38|399:169|254:81
0.39|401:167|256:83
0.4|401:167|256:83
0.41|401:167|256:83
0.42|404:170|258:85
0.43|404:170|258:85
0.44|408:166|262:86
0.45|408:166|262:86
0.46|408:166|262:86
0.47|408:166|262:86
0.48|415:166|265:86
0.49|415:166|265:86
0.5|421:165|267:87
0.51|421:165|267:87
0.52|421:166|268:86
0.53|421:166|268:86
0.54|419:164|268:85
0.55|419:164|268:85
0.56|420:169|267:85
0.57|420:169|267:85
0.58|420:169|267:85
0.59|416:168|266:84
0.6|416:168|266:84
0.61|416:168|266:84
0.62|416:168|266:84
0.63|412:168|263:82
0.64|412:168|263:82
0.65|411:165|263:91
0.66|411:165|263:91
0.67|409:160|263:93
0.68|409:160|263:93
0.69|409:160|263:93
0.7|408:162|263:92
0.71|408:162|263:92
0.72|409:163|263:92
0.73|409:163|263:92
0.74|409:163|263:92
0.75|409:163|263:92
0.76|409:163|263:92
0.77|409:163|263:92
0.78|406:161|261:91
0.79|406:161|261:91
0.8|405:163|260:87
0.81|405:163|260:87
0.82|406:161|258:85
0.83|406:161|258:85
0.84|408:159|257:84
0.85|408:159|257:84
